width,creator_id,height,video_description,comment_count,like_count,duration,create_time,view_count,share_count,video_id
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,reaction on beauty!,0.0.0,470377,72,1751294283,,4329,5dfe4c56-9ffc-4dca-8f92-b7187c215beb
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,reaction on beauty!,8985,7409,64,1748788683,171986,1680,0307e248-afb2-437d-95e3-1143324d1569
,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,review on beauty!,6375,,153,1748011083,906453,4830,c106bc5e-fb35-4e71-b0c4-290b7221350c
0.0.0,54c845c9-e0a1-4c1f-a498-3b5f1c966383,,reaction on tech!,3884,124634,128,1749998283,608367,940,a9c3fbe3-809b-4e20-8b24-56e1534fd15b
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,vlog on fitness!,5458,222360,,1751467083,282749,72,511175ca-0870-41cf-929f-0cb6fe8d1942
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,review on tech!,8680,32503,102,1750257483,89040,986,bc2e0735-c878-4f57-bf95-aaeadf33ce8c
720,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,challenge on fitness!,7506,0.0.0,93,1752849483,193103,1544,2ed5fe1e-7150-4b00-9973-273695a0f8fb
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,1080,challenge on food!,8925,90514,143,1752849483,730970,2906,966f994f-ce35-45c3-bd21-2e81fbeac6f4
,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,review on travel!,4501,441970,97,1751726283,761798,3711,be707dd2-7d20-4cd7-817b-4e1e82c9757b
1080,54c845c9-e0a1-4c1f-a498-3b5f1c966383,720,unboxing on fashion!,3861,167944,37,1750516683,513288,854,ce0c8b0b-d6e1-4f96-a6d2-b02df2509b4f
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,challenge on food!,240,465233,56,1752503883,56512,4545,4da6a662-2c76-408f-b3da-bb9d50f315c3
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,vlog on fashion!,3431,341491,128,1751294283,444591,4356,0f5db5d9-b1f8-4f14-b269-eeaa1705b404
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,challenge on tech!,NaN,367943,164,1748961483,138273,464,107ce313-fa4b-464b-92e6-97c55589abfe
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,vlog on tech!,2252,380750,20,1750084683,144116,522,bd7c277b-5ec4-4432-aa1d-f51e0cce668d
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,vlog on fitness!,6872,NaN,87,1750862283,409887,3650,fdbaab06-8ac7-420c-8b6c-b8bd71569e1f
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,reaction on fitness!,,12763,133,1752417483,257857,1854,e96199a7-11f4-48e1-989e-612f13a71e22
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,review on food!,1936,270530,157,1750689483,179582,834,f4cd4d81-34d2-4f17-a19f-cade3dd4f09b
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,unboxing on beauty!,4233,130998,19,1749047883,226479,2188,67873809-a532-43f3-b0f8-d15ef75e85e9
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,,challenge on beauty!,8867,58284,20,1749566283,544836,2222,4c739bb1-c8ec-4a45-9f21-8a0c6083f3b4
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,challenge on fashion!,7613,368243,,1750343883,129917,2069,49e13121-1b65-45b0-97ab-a93f7e40b37b
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,unboxing on beauty!,5836,125661,40,1753022283,449940,1721,d5f7cbb0-006a-4e08-940a-1fcfa553ecf0
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,reaction on fitness!,5481,84917,33,1749825483,,4236,4bba0288-0ee2-48b2-b8f1-590e9c1da268
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,vlog on food!,4649,183801,50,1749134283,868527,3999,c7624eaf-d92a-49f1-853a-f0efc9dd2db4
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,vlog on beauty!,4003,151110,90,1748875083,,2998,d842da6e-8321-4e1c-950c-38cf216ad341
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,reaction on fitness!,142,0.0.0,73,1752676683,577732,243,f64096d4-d145-4b73-9b51-af9b2dd4fd76
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,vlog on travel!,6277,109845,24,1749652683,955490,2175,3e32f731-b523-457d-b84b-000445523634
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,NaN,reaction on food!,,11998,74,1752244683,926095,14,2f7153a7-431e-4f98-b154-b84c496bc458
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,unboxing on fitness!,9047,472959,79,1750689483,458747,1776,83e08ff6-30de-42d3-b207-c2fbec17e967
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,challenge on fashion!,1626,121521,,1748097483,555316,4268,749e6a21-485e-439a-9fc5-57090ad71edb
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,unboxing on travel!,4931,471167,50,1749307083,666448,,33e5f9ff-ba6b-4f21-8a34-d4b22e33f57e
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,reaction on beauty!,2338,140164,165,1749393483,198467,995,641249a2-41f8-4470-92b9-47cf8085719e
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,vlog on beauty!,1227,292070,149,1747838283,221237,2884,52c8ca32-6dd1-41cd-8da1-651c6ce04982
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,unboxing on food!,5600,,92,1747838283,747550,1002,1a5f41c3-1bb1-4769-898f-2ffd7e1a4c62
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,challenge on fashion!,3983,490850,61,1748961483,340580,2120,77239311-f922-49c7-ba7f-5372e9540d63
1080,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,unboxing on fashion!,,9086,170,1750257483,57564,2446,4bb15824-6423-47b4-bcf2-635fc4f7e7f5
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,720,reaction on tech!,1394,472310,118,1749998283,563119,846,f61ce08f-ce51-4c3f-8e29-00bab3181b1c
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,1080,review on fashion!,5038,NaN,41,1751726283,499510,2658,f947a433-44e0-43c6-a042-18256a2bb8cb
720,25c4ef1e-7cbf-4a69-956b-ffff60a1edd5,,reaction on beauty!,?,105612,145,1752676683,702507,4481,394e20d8-73c2-461a-abdf-ddf7bd94a3ac
1080,8d671101-5462-42fa-9652-3b01351ae912,720,vlog on food!,6659,136118,169,1752244683,533826,1052,b979c6e6-313e-4bfa-be99-deccb4f3bb98
720,8d671101-5462-42fa-9652-3b01351ae912,720,challenge on travel!,2833,206532,60,1748615883,115482,1452,2fb0d993-aa5b-42ce-88a9-4c7ed0f93c76
1080,8d671101-5462-42fa-9652-3b01351ae912,720,reaction on beauty!,2065,292763,172,1751467083,898962,1852,3d4e9322-8cdc-4f13-8c60-8af773a0d636
720,8d671101-5462-42fa-9652-3b01351ae912,720,review on food!,NaN,368698,74,1748788683,804948,2114,3c19a59f-7e7f-4ddb-89e7-b74a8f19ecbb
1080,8d671101-5462-42fa-9652-3b01351ae912,1080,reaction on fashion!,221,151589,15,1749393483,,3297,7bb298d2-fed3-423c-ace4-8584bc19f4a7
720,8d671101-5462-42fa-9652-3b01351ae912,720,vlog on travel!,6255,?,95,1749393483,369608,1737,092b279b-b7c5-423e-8c35-f08f8e326198
1080,8d671101-5462-42fa-9652-3b01351ae912,1080,unboxing on beauty!,,344188,37,1748788683,776458,4806,ce4ed480-a24f-427f-a040-033a9ee3835d
,8d671101-5462-42fa-9652-3b01351ae912,1080,review on food!,6822,313554,132,1748529483,,0.0.0,c97b4944-a13f-4457-9255-2d0a36fb3495
1080,8d671101-5462-42fa-9652-3b01351ae912,1080,review on fitness!,9893,197986,169,1748270283,?,0.0.0,b5901899-adf3-42ea-a75e-b0aa3f99603a
720,8d671101-5462-42fa-9652-3b01351ae912,1080,reaction on food!,3345,,39,1752503883,578673,4887,db0565eb-1c71-4291-babd-0d55dfaeca5f
1080,8d671101-5462-42fa-9652-3b01351ae912,720,unboxing on fitness!,9396,419439,158,1752935883,0.0.0,3182,3ebde1c2-7288-4373-b37e-1a4c7e0cf1b2
720,8d671101-5462-42fa-9652-3b01351ae912,1080,reaction on tech!,8453,198821,92,1748443083,870242,2694,36a17360-0453-4b1e-a6c7-6770a8132981
720,8d671101-5462-42fa-9652-3b01351ae912,720,review on fitness!,8363,,144,1753022283,732968,101,d3ec77d6-5322-40b5-9fa8-f317c4a4da0e
,8d671101-5462-42fa-9652-3b01351ae912,1080,unboxing on food!,4841,,25,1749134283,341752,,920faaa8-c29e-4f4d-99f0-2f02b8d03200
720,8d671101-5462-42fa-9652-3b01351ae912,720,reaction on fashion!,835,475521,88,1751207883,327472,2286,738d9146-e6a3-4c88-8e54-254e3a5f7085
1080,8d671101-5462-42fa-9652-3b01351ae912,720,unboxing on beauty!,6072,398455,73,1751639883,,3358,d578a37c-fb78-4ac6-98c0-45e918c29ab8
720,7ef7d968-0779-44aa-9019-409de5cfcae9,720,unboxing on fashion!,8362,150923,94,1749393483,888796,2889,66c4f734-0e2d-4ba0-a94f-93f90c5ed20c
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,720,vlog on fitness!,,388622,128,1752244683,813700,4985,11a73307-fea6-40a8-b5e5-36ba9fced4ed
720,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,review on travel!,7327,419350,25,1749393483,308251,3985,9e47afd0-dfcf-46a7-a21c-05779ab53c12
720,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,vlog on tech!,2137,35746,176,1749393483,760110,7,431b42f7-e826-43b4-b79f-5cb29c8624b8
720,7ef7d968-0779-44aa-9019-409de5cfcae9,720,vlog on fitness!,9352,177319,133,1748183883,,4082,a8605de0-6d80-4a5b-a9a5-c5386a1f6e31
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,720,challenge on beauty!,4526,56827,39,1750171083,317858,4236,cac4013e-c81b-4eb2-927d-79dcff6093b7
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,720,challenge on tech!,5023,177541,84,1749739083,415079,3537,d99b9f5f-3685-409c-b31a-58b4786f9483
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,challenge on tech!,7783,412877,14,1749739083,684894,308,e2e1df36-13c8-4a88-8367-77564e28e7e0
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,challenge on tech!,4547,366595,111,1751380683,653451,3573,8e792893-4e09-419f-bf64-c88b4137a0a2
720,7ef7d968-0779-44aa-9019-409de5cfcae9,720,reaction on food!,482,397873,20,1751467083,70305,3558,911eb379-4d10-4dda-8d92-9cb3effa800b
720,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,challenge on fashion!,9527,?,51,1749393483,540977,3366,ac264089-0032-41cc-881e-6e047452da22
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,vlog on beauty!,7673,435214,NaN,1750775883,860014,2473,3e028f23-d293-4721-af1b-27275450701f
720,7ef7d968-0779-44aa-9019-409de5cfcae9,720,review on beauty!,,159683,79,1749479883,713092,2106,d40053d0-4c23-4cc9-88c4-0b55f9d0a9b6
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,unboxing on travel!,1064,295379,61,1752331083,132296,4297,70ac0625-1c0a-4a5d-bbb5-b8020b6c01ac
720,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,challenge on tech!,6095,NaN,141,1748011083,771443,891,e19888ec-d071-48f9-9288-6aea81a10549
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,challenge on food!,5483,,177,1747838283,782599,2495,1bdf5e7e-8f28-429c-bf8d-8be6d5937278
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,vlog on beauty!,3981,,,1753022283,196974,1748,1badede4-0454-4cea-a1dc-7934a9eecc0c
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,720,challenge on travel!,7095,63347,165,1753022283,935158,4883,63c08d62-7ede-4a86-b74b-6f98078bb864
,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,vlog on beauty!,3347,,39,1748875083,886843,1165,8a3eed05-ca9d-4890-ac5b-7724d2c346be
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,vlog on beauty!,9721,234960,19,1752503883,189174,1168,3ad99254-68f3-4ba2-84c0-f53f60c5ddfd
720,7ef7d968-0779-44aa-9019-409de5cfcae9,1080,unboxing on beauty!,5815,319054,138,1747924683,40583,382,a193847e-a82f-47f1-9ef0-2bdbc779f26b
1080,7ef7d968-0779-44aa-9019-409de5cfcae9,720,challenge on fashion!,6002,390868,67,1753022283,472414,,9e14a276-3d88-4730-9025-f5ad5993dcb0
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,vlog on fashion!,1209,?,,1752763083,105398,502,5191d777-22bb-4dd1-84fd-d7a6bf719911
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,720,reaction on fitness!,3793,,89,1751294283,730311,4929,9df10708-602f-432b-b0de-63533e132946
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,challenge on travel!,4285,229819,40,1748443083,398128,2152,780087d1-2542-424c-8ef4-2d67441935d7
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,720,unboxing on fitness!,5988,34530,43,1749307083,379128,3717,a68f6b27-9c50-4906-87fa-9122d447e4b7
720,a98043a6-757e-4d8e-84cd-eb69677402a5,720,challenge on beauty!,2808,246986,113,1749911883,681793,238,2b94c10b-97e2-4e2f-9c01-e82a28dda479
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,unboxing on beauty!,6352,54898,156,1751812683,935539,?,c592c82a-0938-4368-8c62-d03e0f3a7551
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,unboxing on travel!,3184,269618,75,1750343883,964314,664,f5c4df94-3554-4ab8-a09f-11241b5747b7
720,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,challenge on travel!,6152,,39,1750948683,721890,4854,f3824cdc-5f7e-49ec-b6a0-e4658ce47f0b
720,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,vlog on travel!,6593,81615,109,1752763083,162266,1523,a11d4e93-5851-4e32-b71d-2305a3cc1c6d
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,?,review on fitness!,1430,,46,1749652683,314664,2707,e47315eb-2498-4483-b41f-41b422d6a91e
720,a98043a6-757e-4d8e-84cd-eb69677402a5,?,vlog on food!,8671,442263,172,1750257483,831842,4109,309b6f4f-9419-4972-8311-e1a21fd2fdad
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,unboxing on fashion!,564,74890,30,1748702283,194126,1659,5261bd99-2d36-48ee-888d-6ff2eed4fccf
720,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,unboxing on food!,6272,328909,170,1748183883,403676,3268,a3c04a0b-cf56-4eca-9bcb-9fddec6f02e7
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,720,review on tech!,6799,292473,20,1748183883,524844,2559,e5ad1ef0-8385-467f-a7f9-0a14bb764a75
720,a98043a6-757e-4d8e-84cd-eb69677402a5,720,vlog on food!,1746,390831,178,1749911883,930314,668,4fddf1f6-9e49-448a-9501-49542f6ed17f
720,a98043a6-757e-4d8e-84cd-eb69677402a5,720,challenge on fitness!,,284764,NaN,1750171083,934303,4978,2a409947-89f8-4611-8b9c-075e2d8671a5
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,vlog on tech!,910,469725,169,1750171083,NaN,3427,977a6976-ec7c-4708-9499-7d98ce3658dd
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,720,reaction on tech!,1091,?,NaN,1752331083,239686,2046,999e799a-4264-404a-ac65-6b54e13d303f
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,720,challenge on travel!,3456,245421,17,1748443083,584960,3922,c474534d-0bbc-4563-bc47-c6eb09352976
720,a98043a6-757e-4d8e-84cd-eb69677402a5,1080,unboxing on food!,6985,334921,?,1750343883,868567,,24af9dc3-6493-4f82-beb0-59fcf195129d
720,a98043a6-757e-4d8e-84cd-eb69677402a5,720,unboxing on travel!,9693,235906,26,1751294283,961463,1261,59137894-fe72-4c03-be10-03b78994d795
1080,a98043a6-757e-4d8e-84cd-eb69677402a5,720,reaction on beauty!,,?,11,1748529483,50235,NaN,f50e77c8-8ab3-44c9-878f-18e3994424e9
720,b7945511-7688-442e-8795-99b90ed33e15,720,challenge on fitness!,2233,0.0.0,76,1751467083,2912,2043,dfacc408-02ee-403c-95f4-b6fab75b0bce
1080,b7945511-7688-442e-8795-99b90ed33e15,1080,unboxing on fitness!,5848,57943,98,1748011083,,1691,f09b6e45-8da7-408f-b5ff-2aa44417e38d
720,b7945511-7688-442e-8795-99b90ed33e15,1080,challenge on travel!,9269,,93,1751553483,111105,577,bf7ff3cf-7470-4999-bc2d-b12f495fedd8
1080,b7945511-7688-442e-8795-99b90ed33e15,720,unboxing on food!,8565,494426,175,1749825483,NaN,4804,f28d76d9-d5e9-4fad-acc0-e50701fa5c3f
720,b7945511-7688-442e-8795-99b90ed33e15,720,review on food!,33,99661,43,1750430283,667523,715,19fa6893-9e52-4841-bbc6-bdc0050fdfaa
720,b7945511-7688-442e-8795-99b90ed33e15,720,unboxing on food!,2842,204985,26,1748788683,776108,2472,dd43dc24-a9a4-42a2-8e0d-88f0b0f26111
1080,b7945511-7688-442e-8795-99b90ed33e15,1080,review on travel!,5880,0.0.0,131,1751985483,809299,3998,c1a194a6-ec7f-46ab-86fd-b374387b3eae
720,b7945511-7688-442e-8795-99b90ed33e15,720,review on fitness!,2160,240013,61,1749911883,98782,4862,01b89d03-f270-4d22-9852-67bb351c8aef
1080,b7945511-7688-442e-8795-99b90ed33e15,720,vlog on fashion!,1664,,54,1751899083,40170,2832,87c34c33-b0f4-4d32-bede-0f14426869ec
1080,b7945511-7688-442e-8795-99b90ed33e15,1080,review on food!,8050,,123,1749393483,290657,4591,bc42f101-ab4e-460e-a5d6-f505ae845cd7
1080,b7945511-7688-442e-8795-99b90ed33e15,1080,challenge on food!,4458,126270,139,1751467083,?,1412,25ab6dc7-a255-4b11-bd63-2f56d19ce0cb
1080,b7945511-7688-442e-8795-99b90ed33e15,1080,challenge on beauty!,6442,105713,106,1751207883,992567,191,88f7ba9f-dccb-44bd-84a8-9f56ac507a35
720,b7945511-7688-442e-8795-99b90ed33e15,1080,review on tech!,309,,52,1748356683,619849,NaN,2dd9ea57-d730-4087-a89f-1fb675fb7d51
1080,b7945511-7688-442e-8795-99b90ed33e15,720,reaction on fitness!,3929,444755,144,1750603083,113021,3994,6898e065-97f6-4f43-a9a9-3966fa27f5d1
0.0.0,b7945511-7688-442e-8795-99b90ed33e15,0.0.0,reaction on tech!,2891,,20,1749479883,333194,4457,df4fe57d-925a-4041-a6a1-a165b10bd437
0.0.0,b7945511-7688-442e-8795-99b90ed33e15,720,reaction on tech!,2634,,,1750084683,523038,4818,85837239-0535-4bf4-b098-808716747f39
1080,b7945511-7688-442e-8795-99b90ed33e15,1080,reaction on fitness!,7535,267434,36,1751812683,845055,992,e1bdbc4c-b00c-475f-b29e-7c0d33dd020d
720,b7945511-7688-442e-8795-99b90ed33e15,720,unboxing on fashion!,5489,0.0.0,?,1749220683,646215,2008,b4a306c8-3dcb-46e6-9acf-efb7d25c0cbb
1080,b7945511-7688-442e-8795-99b90ed33e15,1080,vlog on travel!,7985,341266,125,1751899083,999814,,ebeb5e9a-c8eb-4762-957c-deb714878de7
720,b7945511-7688-442e-8795-99b90ed33e15,1080,challenge on tech!,9639,?,176,1752331083,232273,0.0.0,3daedb96-2787-43ba-900c-d211a4577490
720,b7945511-7688-442e-8795-99b90ed33e15,1080,unboxing on fashion!,,423214,153,1748011083,274370,1926,40edb0a9-2ded-4a2d-bb22-c3a0994077ca
1080,b7945511-7688-442e-8795-99b90ed33e15,720,challenge on beauty!,9416,226552,136,1748356683,423441,437,f0c3fa57-b69d-4d9f-9475-60933e8702f6
1080,b7945511-7688-442e-8795-99b90ed33e15,720,reaction on travel!,2106,,84,1748788683,698148,0.0.0,a8471f46-5ebf-44a2-a109-2fb9af618340
,b7945511-7688-442e-8795-99b90ed33e15,720,review on travel!,,46483,43,1749479883,,4808,b316942a-6418-46cb-86de-824b3e1c432d
720,b7945511-7688-442e-8795-99b90ed33e15,1080,unboxing on tech!,,176929,167,1750516683,166933,3340,9432e816-3a78-4087-8eb2-0ca1450e0d73
720,b7945511-7688-442e-8795-99b90ed33e15,720,unboxing on fashion!,,430099,31,1747838283,914989,2774,
720,b7945511-7688-442e-8795-99b90ed33e15,720,review on tech!,3901,443756,124,1748615883,144097,1171,6762b37e-133e-456a-9355-a5bae744d60c
720,b7945511-7688-442e-8795-99b90ed33e15,720,review on beauty!,,454444,12,1752071883,225545,3997,594db655-ad51-4237-be03-de4985944ebb
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,vlog on beauty!,9732,351480,41,1751380683,NaN,4078,8fe4303e-4b69-4e1b-bd4e-722a7b945264
1080,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,review on travel!,2560,396585,126,1748961483,746040,943,f369de10-89d8-41fc-9c86-250dd36c6b3e
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,720,unboxing on beauty!,8148,137550,168,1747838283,345585,4923,efb207b9-0fc6-4e4e-b259-5197a8edaef6
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,vlog on fashion!,,479625,93,1752417483,677497,4816,a771b172-b4ab-4139-aec3-b648584790b2
1080,bf935ec7-d76a-459d-bb79-6d1617c1d1af,720,unboxing on fitness!,2307,436496,169,1750171083,382482,2068,8b4d9ff8-0666-4c99-8f6b-c7ee50267310
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,reaction on beauty!,6785,408404,88,1753022283,722261,1524,ec9180b3-7888-4f9d-b6e6-53f77cb65688
1080,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,vlog on fashion!,,117638,34,1752763083,525359,830,cb572758-807c-4b2d-8f61-e444ba8cb48c
1080,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,unboxing on beauty!,6296,200409,NaN,1747838283,455540,2931,cee29e9e-28c1-4405-b65b-e057f92b6920
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,,reaction on tech!,6633,,178,1752763083,NaN,1752,67e85fe7-de01-4444-897b-27ae24044084
1080,bf935ec7-d76a-459d-bb79-6d1617c1d1af,720,vlog on food!,,167388,145,1748183883,65907,953,b46c0184-2ad0-4328-b133-1275e0f8e234
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,unboxing on fashion!,5443,225412,111,1748961483,996936,2380,d110dcdf-8167-4ae3-900b-641e251f738f
1080,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,unboxing on tech!,4116,178322,85,1749479883,578678,,85d2e816-c22d-4ecf-b913-e09e5bda633a
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,reaction on fashion!,7479,410366,57,1750948683,301358,2565,51c7b8ff-a0f8-4957-a7f7-efd3b0179fdc
1080,bf935ec7-d76a-459d-bb79-6d1617c1d1af,720,reaction on food!,6975,336314,93,1751294283,824309,,c15ad8ff-4674-483b-8dbc-5aefd983e19b
0.0.0,bf935ec7-d76a-459d-bb79-6d1617c1d1af,720,vlog on beauty!,8104,339216,72,1751121483,932593,669,21d36da4-9e01-4fb8-bbbb-45c84caf485e
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,reaction on travel!,3111,292663,NaN,1747838283,201008,4156,2ff9f79b-c4b8-4f40-a706-a93200f0065e
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,720,vlog on fitness!,?,NaN,34,1751985483,217476,4644,d4a6ebf8-05cf-4a21-859c-0737c8970120
1080,bf935ec7-d76a-459d-bb79-6d1617c1d1af,720,unboxing on tech!,5201,268070,58,1751035083,986102,3940,8c456004-0289-44f8-affc-a202b511bcb9
720,bf935ec7-d76a-459d-bb79-6d1617c1d1af,1080,vlog on tech!,9135,344465,,1748443083,263466,173,bd5b9965-f9a7-4273-85e8-e7af9322b746
