price_to_median_views_ratio,trend_momentum,extra_column,timestamp,usage_of_low_quality_products,negative_sentiment_rate,authenticity,comment_sentiment,hashtag_strategy,creator_id,past_collaborations_success,price_to_engagement_ratio,daily_profile_views,content_diversity_score,strongest_engagement_growth_post_upload,brand_risk_score,follower_count,video_quality,engagement_velocity,creator_price,trend_resonance,hook_retention_rate,upload_consistency,trend_personalization
0.119,0.698,,2025-07-20T14:38:03.699336,,0.232,0.981,0.797,0.257,31859246-5b80-488e-a771-3bd7c1d68c6c,0.74,0.052,7856.721,0.526,0.709,0.126,494890.929,0.461,0.414,4037.233,0.331,NaN,0.94,0.573
0.282,0.342,,2025-07-20T14:38:03.699578,0.162,0.144,0.512,0.548,0.67,72f7986e-d51c-4467-a8fb-ad19342a0c51,0.453,0.286,1568.969,0.564,0.624,0.29,461434.419,0.98,0.261,1772.526,,0.838,0.786,?
0.287,0.955,,2025-07-20T14:38:03.699761,0.0.0,0.179,0.962,0.582,0.792,b125a889-653c-409e-8db6-09350ac586ee,0.581,0.169,8136.599,0.523,0.0.0,0.008,480705.746,0.941,0.772,4782.965,NaN,0.392,,0.982
0.16,0.655,,2025-07-20T14:38:03.700034,0.092,NaN,0.851,0.479,0.973,f4d3ce25-a3f0-419c-8207-708d084c1be5,0.635,0.234,2544.544,0.717,?,,82112.597,0.528,0.545,4795.7,0.219,0.147,0.907,?
,,,2025-07-20T14:38:03.700429,0.193,0.237,0.689,,0.237,dc07beac-960a-4534-936d-0ac32e1178ed,0.77,0.023,17030.058,0.725,,0.433,351011.479,0.439,0.319,0.0.0,?,0.987,0.621,0.682
?,0.951,,2025-07-20T14:38:03.700675,0.118,0.003,0.726,0.866,0.518,c51253aa-2f09-4e2a-83de-038a7a96675a,0.68,0.233,10169.722,0.938,0.9,0.422,101883.62,0.472,0.752,3440.661,0.674,0.695,0.722,0.307
NaN,0.231,,2025-07-20T14:38:03.700998,0.061,NaN,0.562,0.436,NaN,722061e3-ff8a-4591-8b10-75f7a51b5854,0.848,?,8535.745,,0.353,,166149.602,0.911,0.587,142.192,0.924,0.631,0.0.0,0.0.0
0.278,NaN,,2025-07-20T14:38:03.701276,0.175,0.064,0.624,0.875,?,49a8b0ed-a3d0-4db9-8e2a-d88f2835f2cf,0.403,0.128,1484.457,0.935,0.418,0.35,40860.181,0.416,,3776.612,0.346,0.309,0.474,0.868
0.156,0.559,,2025-07-20T14:38:03.701634,0.146,0.117,0.796,0.538,0.57,dac32ded-6f31-48b7-a0d6-67918bbb5ed1,0.613,0.211,7743.46,0.488,0.48,0.465,366356.926,0.727,0.832,1377.246,0.32,0.686,0.0.0,NaN
0.046,0.318,,2025-07-20T14:38:03.702364,0.043,0.024,0.834,0.568,0.886,4fc2ca0a-3c05-4717-a064-9e6ed651a04b,0.791,0.276,1716.215,0.743,0.601,0.275,211294.668,0.566,0.253,0.0.0,0.753,0.808,0.623,?
,,,2025-07-20T14:38:03.703033,0.191,0.131,0.0.0,0.752,0.814,ab08eccd-0761-4b6f-b6dc-43e53990229a,0.908,0.17,NaN,0.957,0.431,0.097,735942.893,0.53,,4212.486,0.748,0.815,0.781,0.769
?,0.427,,2025-07-20T14:38:03.703344,0.156,0.297,0.704,0.74,?,3f112fa4-429e-42ed-beb7-fc120254ace0,0.92,0.046,16438.802,0.716,0.141,0.118,805341.942,0.433,0.947,4676.423,0.488,0.521,0.447,0.486
?,0.961,,2025-07-20T14:38:03.703542,0.169,0.224,0.827,0.407,0.524,3da7ddc1-6d67-4bdd-bb8f-df31a66d31f7,,0.186,15040.842,0.462,NaN,0.078,528552.551,0.866,0.634,822.798,0.266,0.618,0.879,0.734
,,,2025-07-20T14:38:03.703743,0.007,0.025,0.878,?,0.718,1bf0e67c-b2ec-4f8d-ae02-ed7f93bef404,0.675,0.122,,0.444,0.529,0.114,263955.628,0.586,0.341,NaN,0.986,0.7,0.436,0.933
0.296,0.739,,2025-07-20T14:38:03.704014,0.115,0.169,NaN,0.576,0.36,f847b966-8035-4d70-ae44-7d655d4d4822,0.38,0.117,4513.781,0.455,0.921,?,779407.424,0.533,0.381,1661.067,0.855,0.348,0.986,0.771
0.065,0.871,,2025-07-20T14:38:03.704214,0.017,0.013,,0.789,0.217,5ccee1e5-8659-4038-81c4-b59bca0c7ca6,0.423,0.286,0.0.0,0.425,0.133,0.333,369935.425,0.908,0.643,2130.542,,0.247,0.595,0.786
0.239,0.463,unexpected,2025-07-20T14:38:03.704454,0.2,0.269,0.817,0.783,0.721,cf00624e-3492-426f-8b3e-719550d4a995,0.327,0.262,3885.67,0.308,0.334,0.47,390916.984,0.47,0.0.0,2877.786,0.663,0.453,,0.645
0.186,,,2025-07-20T14:38:03.704659,0.01,0.269,0.826,0.643,0.877,6f833ec2-a046-4591-b634-a7bee55bb9cf,0.694,0.043,2890.829,0.866,0.299,0.197,NaN,0.446,0.585,929.227,0.82,0.666,0.483,0.662
0.265,0.799,,2025-07-20T14:38:03.704859,0.195,0.277,0.524,0.773,0.999,ca2d00fb-9e8d-4968-b3a7-230956b4bb12,0.516,0.198,17590.866,,0.707,0.282,11439.36,0.738,0.882,2233.905,0.6,0.365,0.905,0.825
0.067,0.97,,2025-07-20T14:38:03.705116,,0.288,0.785,0.805,0.622,a69bae5b-b9b9-4c9a-970d-d13839dac212,0.338,0.161,539.596,0.684,0.585,0.154,0.0.0,0.474,0.624,,0.232,0.181,0.876,0.67
0.096,0.803,,2025-07-20T14:38:03.705373,0.024,0.276,0.857,0.546,0.902,fd070e29-6d5c-4a62-adc9-db8e7c3c0459,0.597,0.266,,0.543,0.383,0.32,186433.55,0.68,0.862,193.815,0.342,0.133,0.334,0.763
0.132,0.367,,2025-07-20T14:38:03.705556,0.058,0.263,0.969,NaN,0.459,a5744d05-1109-42ae-a261-77536b5c9599,0.726,0.077,17522.441,0.798,0.194,0.348,521322.421,0.559,0.949,2882.344,0.217,0.577,0.473,0.468
0.164,0.856,unexpected,2025-07-20T14:38:03.705793,0.107,0.258,0.893,0.55,,580ef8ed-2cd1-463c-a26a-ae20f549012e,0.771,,,0.47,0.21,0.138,932534.079,0.982,0.169,2237.104,0.997,0.627,0.427,0.335
0.291,?,,2025-07-20T14:38:03.706196,0.071,0.025,0.641,0.435,0.607,74414a0d-56ec-4480-88ad-441a0f715643,?,NaN,4580.633,0.868,0.745,0.189,?,0.63,0.899,2902.514,0.303,0.222,0.786,0.472
0.276,,,2025-07-20T14:38:03.706489,0.012,0.102,0.752,?,0.347,4dac715e-a5f0-45fb-9372-7f85e3cc35a9,0.357,0.208,9094.759,0.933,0.725,0.478,46808.175,0.988,0.53,,,0.839,0.614,
0.065,0.991,,2025-07-20T14:38:03.706743,0.01,0.125,0.619,,0.245,c6aae260-47a8-4a40-8b20-3b4ac05159e3,0.551,0.056,8100.389,0.786,0.949,0.384,859213.538,0.616,0.729,4369.796,NaN,0.27,0.954,0.361
0.223,0.644,unexpected,2025-07-20T14:38:03.707013,0.029,0.158,0.948,,0.234,60220159-6e78-42b4-ba3c-1e2fff145666,0.327,0.269,12173.777,0.479,0.951,0.101,860063.682,0.618,0.581,2454.894,0.584,0.322,0.316,NaN
0.28,0.692,,2025-07-20T14:38:03.707327,?,NaN,0.9,0.828,0.489,0f6ac963-f3f1-4af9-adf7-a1bb815bad68,0.632,0.059,15722.098,0.895,0.381,0.053,885670.405,0.929,0.309,4653.45,0.411,NaN,0.601,0.836
0.186,0.964,,2025-07-20T14:38:03.707544,0.111,0.117,0.579,0.593,,f472c762-6a3e-42dd-a48b-ac40ee8b9f8f,0.556,NaN,3325.627,0.629,0.894,0.49,39316.374,0.0.0,0.709,2884.738,0.595,?,0.792,0.77
0.073,0.497,,2025-07-20T14:38:03.707861,0.043,0.186,0.587,0.495,0.808,dcb4f54d-1eb3-4a29-92fb-b1f114da79ed,0.746,0.016,17694.031,0.823,0.232,0.016,521410.197,0.54,0.123,1511.247,0.328,0.566,0.855,0.667
,?,,2025-07-20T14:38:03.708162,0.043,0.269,0.714,0.989,0.57,16735f63-3353-474c-b570-1879cb470e08,0.581,0.089,13352.486,0.873,0.638,0.406,50827.147,0.658,0.863,1015.259,0.291,0.0.0,0.0.0,0.91
0.086,0.42,,2025-07-20T14:38:03.708344,0.034,0.23,0.811,NaN,0.489,7c128c3c-afd3-491d-b4c0-a03326a22c28,0.509,0.221,0.0.0,0.779,0.537,0.267,432437.119,0.863,0.371,3093.206,0.761,0.68,0.959,0.976
0.138,0.41,,2025-07-20T14:38:03.708591,0.101,0.283,0.911,0.628,0.238,432730cc-9e64-472a-a10b-1d6362b78ff5,0.603,0.168,4272.175,0.597,0.25,0.185,427282.757,0.755,0.433,3015.033,0.34,,,0.535
0.153,0.903,,2025-07-20T14:38:03.708820,0.02,?,0.835,0.632,0.723,3a59213c-8241-489a-8d66-c169712cbeea,0.961,0.126,16304.846,,0.812,0.046,NaN,0.597,0.93,889.979,0.432,0.468,0.323,0.472
?,0.856,,2025-07-20T14:38:03.709121,0.009,0.273,0.626,NaN,0.261,9d3cd4e8-6a56-44ca-b1cf-0737203dbea3,0.878,0.052,4711.135,0.751,0.434,0.098,86112.964,,0.593,1451.616,0.98,0.739,0.506,0.767
0.064,0.279,,2025-07-20T14:38:03.709434,0.012,0.063,0.607,0.997,0.282,16cce27e-47cd-436b-9da2-09bb413ae128,0.86,0.146,13016.543,,,0.175,591635.057,0.838,0.813,,0.507,0.993,0.331,0.952
0.262,0.972,,2025-07-20T14:38:03.709599,0.055,0.072,0.57,0.528,0.468,bbbfa648-c404-48d3-8e43-337af54ab446,0.341,,7021.672,0.49,0.686,0.0.0,732973.166,NaN,0.496,211.042,0.794,0.547,,0.861
,0.806,,2025-07-20T14:38:03.709872,0.168,0.039,0.932,,0.774,0ce31693-d789-498d-8ccb-e7a221fd1a73,0.722,0.174,2685.669,0.94,0.955,0.281,807327.145,0.71,0.413,0.0.0,0.554,0.856,0.762,0.434
0.177,0.905,,2025-07-20T14:38:03.710206,0.104,0.107,0.598,0.791,0.385,3b4b3cac-d996-4ec5-8628-333c762738f0,0.961,0.0.0,4388.648,0.655,0.517,0.414,601429.01,0.741,NaN,,0.517,0.745,0.444,0.631
0.013,0.57,,2025-07-20T14:38:03.710469,0.039,0.177,0.76,0.576,0.845,d1bfd78d-fc9b-4377-8a27-5d2038beff87,0.472,0.126,19467.581,0.942,0.314,0.426,,0.977,0.435,0.0.0,0.804,0.104,0.476,0.946
0.244,0.666,unexpected,2025-07-20T14:38:03.710771,0.143,0.221,0.98,0.824,0.0.0,cf640d4c-b2d8-41f4-9b73-b83807951dac,0.731,0.207,4124.715,0.935,,0.083,877575.405,NaN,NaN,3863.601,0.252,0.188,0.428,0.997
0.039,0.892,,2025-07-20T14:38:03.711028,0.15,0.209,0.699,0.783,0.393,e75eb2ce-afff-422a-a10d-660efeabd17c,0.587,0.107,4175.889,0.991,0.292,0.255,531955.741,0.431,0.461,0.0.0,0.584,0.0.0,0.79,0.801
0.248,0.873,,2025-07-20T14:38:03.711225,0.12,0.08,0.628,0.687,0.28,901df46e-cd0e-4c4e-b50a-94881707040a,0.381,0.105,,0.943,0.511,0.397,213578.748,0.779,0.961,2240.463,0.231,0.946,0.528,0.852
0.185,,,2025-07-20T14:38:03.711504,0.017,0.087,0.87,0.934,0.333,98495c27-3234-4507-9025-91343ed6c7da,0.314,0.156,NaN,0.604,,0.162,293983.055,0.757,0.608,3710.239,0.22,0.844,0.799,0.48
0.211,0.747,,2025-07-20T14:38:03.711749,0.023,0.111,0.552,0.4,0.592,26a47a1d-6320-4294-b936-b8431c8951af,NaN,0.163,7671.684,,0.759,0.45,12634.035,0.701,0.17,577.206,0.68,0.651,0.31,0.994
0.076,?,,2025-07-20T14:38:03.711941,0.182,0.125,0.0.0,?,0.966,4d5457fd-9c98-4f4d-a635-34e3c7282a8c,0.709,0.29,11853.063,0.463,0.66,0.487,956949.622,,0.647,274.536,0.82,0.971,0.514,0.751
0.155,0.356,,2025-07-20T14:38:03.712185,0.032,0.23,0.842,0.917,0.633,08a4d736-18af-40a6-ae1e-a72c849e43fa,0.782,,12362.395,?,,0.053,?,0.505,0.314,3247.956,0.325,,0.554,0.652
0.124,0.299,,2025-07-20T14:38:03.712377,0.136,0.205,0.601,0.508,0.388,61740ad0-1fd7-49cb-b577-a7b00d8d4a53,0.398,0.142,10989.435,0.408,,0.43,888212.932,0.574,0.161,3714.983,0.904,0.921,0.603,0.472
0.055,0.333,,2025-07-20T14:38:03.712538,0.152,0.024,0.815,0.769,,7a2bf877-8f72-42f3-86f9-a4976e5936c7,0.834,0.247,NaN,,0.614,0.498,908013.876,0.754,0.974,4052.142,0.662,0.971,0.688,0.432
0.152,NaN,,2025-07-20T14:38:03.712840,0.026,0.103,0.535,0.791,0.471,52684ac6-dc2b-4e7d-8733-02c1a40967ca,0.645,0.059,19164.338,0.486,0.325,0.183,,0.0.0,?,2590.137,,0.885,0.981,0.396
0.189,0.52,,2025-07-20T14:38:03.713066,NaN,0.25,,0.585,0.917,31b78295-0303-4c0e-b982-d55111d6d08f,0.604,0.198,10480.291,0.961,0.554,,133481.258,0.998,0.248,3191.668,0.489,0.642,0.846,NaN
0.031,0.846,,2025-07-20T14:38:03.713266,0.048,NaN,0.855,0.458,0.904,17e08138-ceaa-4354-9c57-68fc2b990455,0.727,0.113,4404.197,?,0.548,0.067,63583.834,0.579,0.107,4285.207,0.722,0.105,0.466,0.893
0.06,0.422,,2025-07-20T14:38:03.713500,0.023,0.147,0.0.0,0.412,0.812,e4bf6ce6-17d1-4a81-b23d-304070fd3b91,0.587,0.255,11995.602,0.993,0.121,0.108,674732.371,0.735,0.508,2014.084,0.492,0.768,0.343,0.831
?,0.43,,2025-07-20T14:38:03.713756,0.011,0.252,0.721,0.446,0.859,d778d445-c5d6-418b-9dcb-5c817ffa563b,?,0.253,9863.603,0.936,0.18,0.195,763752.304,0.944,0.104,4230.801,0.587,0.498,0.368,0.39
0.064,0.455,,2025-07-20T14:38:03.713989,0.089,0.23,0.759,0.612,0.921,6e1eb8a4-56b4-4aca-bb3f-5604ff407bc3,,,,0.32,0.702,0.477,NaN,0.0.0,,954.176,0.553,0.493,,0.597
,0.768,,2025-07-20T14:38:03.714189,0.02,0.0.0,0.934,0.638,0.613,ba0ab34a-8186-448b-939e-54a2d45fcea1,NaN,0.253,12215.557,0.865,0.152,0.326,59927.865,0.525,0.404,3385.043,0.476,0.135,0.535,?
0.126,0.22,,2025-07-20T14:38:03.714395,?,0.153,0.907,0.954,,20f29ae2-066e-4fec-ae31-1424833bb7a1,0.98,0.174,3387.243,0.97,,0.228,?,0.526,,0.0.0,0.51,0.373,0.443,0.778
0.216,0.219,,2025-07-20T14:38:03.714691,0.175,,0.795,?,0.396,01692f40-df5b-4451-b0a3-78833f770f30,0.548,0.169,14126.254,0.359,0.328,0.0.0,,0.887,0.17,3677.139,0.885,0.693,0.413,0.899
0.054,0.433,,2025-07-20T14:38:03.714883,0.092,0.274,0.669,0.588,0.364,5311c263-50d0-4fb4-8f3b-75cebf4fd862,0.372,0.178,6114.771,0.912,0.541,0.244,972541.709,0.705,0.942,3991.031,,0.981,0.974,0.955
0.0.0,0.416,,2025-07-20T14:38:03.715067,0.121,0.228,0.66,0.822,0.541,5e87b9fa-cb8a-4f0e-922d-365999863bac,0.51,0.274,16550.259,0.914,0.886,0.229,45293.167,0.674,0.704,4469.87,0.8,0.571,0.449,0.522
0.105,0.377,,2025-07-20T14:38:03.715390,,0.077,0.866,0.55,0.686,2ae787ee-f16f-4798-8671-70e527f7ac46,,0.11,8723.992,0.55,0.704,0.403,31433.758,0.517,0.156,3491.22,0.292,0.188,0.491,0.838
0.096,0.659,,2025-07-20T14:38:03.715675,0.021,0.295,NaN,0.881,0.225,3aca4b64-b196-42dd-babf-53c0e4dfcc3d,0.669,?,12090.847,0.991,0.937,0.158,383130.731,0.775,NaN,?,0.803,0.689,0.577,0.525
0.275,NaN,,2025-07-20T14:38:03.715892,0.175,0.299,0.764,0.989,0.24,c07bf904-5ecd-45ed-bfbe-f6fa9272d4c7,0.823,0.142,16466.6,,0.505,NaN,755825.605,0.525,0.356,295.668,0.397,NaN,0.691,0.577
0.231,0.976,,2025-07-20T14:38:03.716073,0.174,0.233,0.895,,0.468,ba3f4aae-8219-44dd-87bb-11c7afdefca6,0.307,0.288,10876.634,0.606,?,0.357,106738.594,0.79,0.169,1906.505,0.318,0.521,0.536,0.423
0.04,0.222,,2025-07-20T14:38:03.716318,0.002,0.219,0.781,0.517,0.303,c0e3c74b-d061-437f-9f7b-36a79fc3d1a3,0.804,0.067,15261.496,0.663,,0.002,207559.271,NaN,0.12,1671.496,0.0.0,0.361,0.964,0.727
0.226,0.368,,2025-07-20T14:38:03.716550,0.133,0.088,0.744,0.577,0.856,ab08a5d2-1ce6-4d7b-9dbb-52321d2babe4,0.302,0.038,0.0.0,0.362,0.979,0.278,548266.255,0.41,,133.943,0.914,0.781,0.942,0.961
0.213,?,,2025-07-20T14:38:03.716819,0.073,,,0.837,0.514,b2d59fa6-0a2a-4b48-bd37-fd6851a30977,0.323,0.123,12097.232,0.998,0.842,0.219,9853.767,0.875,0.196,215.788,0.374,0.399,,0.577
0.118,0.529,,2025-07-20T14:38:03.717128,0.002,0.094,0.602,0.76,0.848,bc02a7e1-b791-4c2f-a2a3-74709183e41a,,0.267,8757.007,0.421,0.906,0.0.0,354698.345,0.94,0.76,1934.807,0.85,0.118,,0.841
0.298,0.902,unexpected,2025-07-20T14:38:03.717300,0.094,0.19,0.779,0.543,0.324,c90f11bc-8e87-4ddd-9c27-b948ce086d03,0.656,0.166,10416.642,0.834,0.862,0.097,60582.487,0.868,?,1721.696,0.243,0.857,0.356,0.595
